"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","10","","com.jensen.CupTest","","com.jensen.CupTest","testPercentageThrows","testPercentageThrows()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","191","","com.jensen.Calculator2Test","","com.jensen.Calculator2Test","testMinusNumbers","testMinusNumbers()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","2","","com.jensen.BookTest","","com.jensen.BookTest","testBookAuthor","testBookAuthor()",""
"passed","Fri Dec 03 14:53:37 CET 2021","Fri Dec 03 14:53:38 CET 2021","268","","com.jensen.BookTest","","com.jensen.BookTest","testGetTitle","testGetTitle()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","2","","com.jensen.Calculator2Test","","com.jensen.Calculator2Test","testDivideNumbers","testDivideNumbers()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","3","","com.jensen.CalculatorTest","","com.jensen.CalculatorTest","testSetAndGetFirstValue","testSetAndGetFirstValue()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","3","","com.jensen.BookTest","","com.jensen.BookTest","testSetAuthor","testSetAuthor()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","15","","com.jensen.CalculatorTest","","com.jensen.CalculatorTest","testSetAndGetSecondValue","testSetAndGetSecondValue()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","7","","com.jensen.Calculator2Test","","com.jensen.Calculator2Test","testAddTwoNumbers","testAddTwoNumbers()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","1","","com.jensen.CupTest","","com.jensen.CupTest","test3","test3()",""
"passed","Fri Dec 03 14:53:40 CET 2021","Fri Dec 03 14:53:40 CET 2021","1","","com.jensen.CupTest","","com.jensen.CupTest","test4","test4()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","1","","com.jensen.BookTest","","com.jensen.BookTest","testSetTitle","testSetTitle()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","1","","com.jensen.CupTest","","com.jensen.CupTest","test2","test2()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","8","","com.jensen.CalculatorTest","","com.jensen.CalculatorTest","testDivide","testDivide()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","8","","com.jensen.CupTest","","com.jensen.CupTest","testObjectCreationAssertAll","testObjectCreationAssertAll()",""
"passed","Fri Dec 03 14:53:40 CET 2021","Fri Dec 03 14:53:40 CET 2021","1","","com.jensen.CupTest","","com.jensen.CupTest","testSetLiquidType","testSetLiquidType()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","3","","com.jensen.CupTest","","com.jensen.CupTest","test1","test1()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","4","","com.jensen.CupTest","","com.jensen.CupTest","testObjectCreation","testObjectCreation()",""
"passed","Fri Dec 03 14:53:39 CET 2021","Fri Dec 03 14:53:39 CET 2021","1","","com.jensen.BookTest","","com.jensen.BookTest","testSetPages","testSetPages()",""
